feature_name;count
agg_linear_trend__attr_"slope"__chunk_len_10__f_agg_"min";11
autocorrelation__lag_6;16
fft_coefficient__attr_"imag"__coeff_49;5
fft_coefficient__attr_"imag"__coeff_44;66
fft_coefficient__attr_"real"__coeff_17;7
fft_coefficient__attr_"imag"__coeff_18;16
fft_coefficient__attr_"abs"__coeff_13;26
fft_coefficient__attr_"abs"__coeff_33;24
fft_coefficient__attr_"abs"__coeff_38;4
fft_coefficient__attr_"angle"__coeff_63;24
fft_coefficient__attr_"real"__coeff_63;64
fft_coefficient__attr_"abs"__coeff_70;17
fft_coefficient__attr_"angle"__coeff_24;18
cwt_coefficients__coeff_14__w_5__widths_(2, 5, 10, 20);20
fft_coefficient__attr_"abs"__coeff_35;22
fft_coefficient__attr_"abs"__coeff_11;1
number_cwt_peaks__n_5;4
friedrich_coefficients__coeff_2__m_3__r_30;14
fft_coefficient__attr_"angle"__coeff_93;54
fft_coefficient__attr_"angle"__coeff_32;9
change_quantiles__f_agg_"mean"__isabs_False__qh_0.6__ql_0.4;4
fft_coefficient__attr_"abs"__coeff_9;12
fft_coefficient__attr_"angle"__coeff_66;29
fft_coefficient__attr_"angle"__coeff_82;56
approximate_entropy__m_2__r_0.5;7
cwt_coefficients__coeff_3__w_10__widths_(2, 5, 10, 20);17
ar_coefficient__coeff_8__k_10;10
lempel_ziv_complexity__bins_100;10
fft_coefficient__attr_"angle"__coeff_61;2
fft_coefficient__attr_"abs"__coeff_43;22
fft_coefficient__attr_"angle"__coeff_3;10
fft_coefficient__attr_"imag"__coeff_20;5
change_quantiles__f_agg_"mean"__isabs_False__qh_0.4__ql_0.2;5
change_quantiles__f_agg_"mean"__isabs_False__qh_0.6__ql_0.2;4
change_quantiles__f_agg_"var"__isabs_False__qh_0.8__ql_0.0;5
fft_coefficient__attr_"angle"__coeff_64;8
permutation_entropy__dimension_5__tau_1;2
mean_second_derivative_central;4
fft_coefficient__attr_"abs"__coeff_80;23
fft_coefficient__attr_"abs"__coeff_90;30
has_duplicate_min;6
fft_coefficient__attr_"abs"__coeff_55;36
number_cwt_peaks__n_1;10
cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20);4
cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20);2
fft_coefficient__attr_"angle"__coeff_40;29
fft_coefficient__attr_"imag"__coeff_22;4
fft_coefficient__attr_"abs"__coeff_20;5
cwt_coefficients__coeff_11__w_5__widths_(2, 5, 10, 20);5
fft_coefficient__attr_"imag"__coeff_71;10
fft_coefficient__attr_"abs"__coeff_81;45
change_quantiles__f_agg_"var"__isabs_True__qh_0.6__ql_0.0;22
partial_autocorrelation__lag_5;6
fft_coefficient__attr_"real"__coeff_61;17
fft_coefficient__attr_"abs"__coeff_22;3
fft_coefficient__attr_"angle"__coeff_79;7
